,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
in-game purchases,40,90,83,76,138,217,91,137,126,161,198,112,81,71,74,231,134,50,42,33,33,42,44,16,20,15,14,17,15,16,5,7,28,29,28,28,11,18,17,23,20,9,9,26,13,18,12,16,4,8,10
region,10,4,11,4,14,18,35,74,112,198,3879,4651,503,424,210,217,175,80,64,186,149,130,65,30,31,29,22,46,80,26,14,20,55,51,72,43,25,84,27,28,24,18,7,29,23,235,13,10,9,17,4
community,84,177,143,135,274,436,197,263,303,318,510,304,211,175,191,378,284,90,88,82,116,64,47,36,17,27,24,41,45,28,8,47,68,52,65,42,37,47,59,44,59,30,22,36,34,22,28,25,19,35,15
optimization,936,1995,1542,1480,1749,2694,1901,3378,4118,4364,3130,2398,2096,1776,1774,3655,2594,1141,843,824,1325,779,671,438,325,236,239,402,536,267,200,258,787,479,644,449,388,429,370,398,316,292,186,197,261,206,230,136,140,185,86
matchmaking,134,309,273,299,427,460,288,410,490,671,699,388,284,223,205,356,271,177,138,208,171,135,110,58,31,56,49,63,114,58,39,57,159,119,130,101,103,79,130,135,104,73,58,79,80,97,104,64,72,87,71
cheating,53,265,237,324,329,395,340,2675,4448,3710,8886,5154,3227,1738,1591,3045,1763,824,709,915,926,528,527,275,215,345,343,386,603,421,238,421,1042,930,1207,730,614,897,729,686,546,427,326,542,477,488,372,361,330,430,281
server,735,1512,1060,1170,1281,2089,1414,3702,2898,5397,4822,2420,1935,1669,1638,2380,2011,924,686,1000,898,700,556,306,249,251,229,308,517,238,175,232,556,403,569,365,264,359,280,230,191,200,117,136,187,166,139,97,98,144,77
maps,178,450,360,332,520,512,480,596,720,1861,1353,921,713,616,417,1224,715,267,215,200,305,354,249,124,84,82,72,114,182,133,88,100,276,202,271,215,134,161,141,141,123,160,73,190,244,222,208,117,98,166,80
gameplay,226,515,440,405,533,818,492,662,811,888,790,491,387,296,316,753,531,193,130,152,252,166,136,86,66,56,44,85,133,52,31,43,183,99,140,85,76,104,92,93,79,67,45,75,57,101,70,44,40,62,26
character design,297,562,420,384,513,657,373,431,495,618,601,398,525,560,500,988,679,280,177,240,356,235,149,80,68,75,84,95,127,69,55,67,211,147,120,96,88,123,108,119,99,79,81,71,95,95,89,44,80,116,37
graphics,198,371,264,264,444,443,383,460,529,656,464,335,312,236,253,518,331,155,124,132,238,150,116,79,39,39,49,100,154,46,37,50,174,90,101,74,72,67,77,105,98,76,41,63,62,90,65,49,40,58,30
audio,138,261,184,176,200,198,145,162,207,277,211,155,122,109,75,176,142,78,46,57,62,79,77,43,22,16,28,26,69,30,33,54,86,52,69,32,22,51,38,49,28,26,24,21,41,32,30,27,18,25,17
game balance,50,124,90,68,98,111,90,92,93,105,108,93,53,60,93,133,66,29,32,35,36,27,17,17,7,21,10,13,24,11,9,9,30,21,24,10,8,13,10,19,19,13,9,9,10,13,17,9,8,3,7
learning curve,13,48,50,48,61,76,52,84,69,88,91,56,58,46,34,62,50,36,20,14,30,16,23,11,11,7,6,18,31,10,6,18,65,46,50,30,18,20,24,22,33,14,11,4,18,21,14,9,11,14,4
player skills,23,72,88,71,128,172,132,158,206,219,229,107,93,80,77,115,107,43,34,35,61,28,26,23,21,25,18,53,39,17,14,21,70,70,49,46,26,28,47,37,31,17,25,18,28,27,29,22,13,24,15
teamwork,87,256,259,344,448,511,378,469,1002,742,671,360,290,233,173,334,224,101,82,79,492,116,86,40,49,37,30,120,176,43,24,36,210,128,124,70,50,70,47,52,63,61,32,40,82,56,43,42,43,47,18
